"distrito","sub_distrito","sup_minima","frente_min","fot_privado","fot_publico","fos_vu","fos_vomf","fos_uc","r_jardin","r_fondo","r_perfil","altura_maxima","plantas","fos","r_frente","r_lateral","r_fondo2","r_desde_lm","altura_max","fuente","referencia"
"RM5",NULL,"400","14","1.1",NULL,NULL,NULL,NULL,"3","6 (*4) (*5)",NULL,"7.5",NULL,"0.55",NULL,NULL,NULL,NULL,"7.5","RM 5","(*1) Altura de edificación para edificios entre medianeras sin aplicación del régimen de perímetro libre. (*2) Para inmuebles y/o proyectos colindantes a equipamientos de aviación civil, la altura de edificación, de plano límite y del volumen superior deberá ajustarse a los requerimientos de la Administración Nacional de Aviación Civil - ANAC. (*3) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*4) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo. (*5) En los distritos RM4, RM5 y CC2 podrá construirse contra el eje medianero de fondo y solamente en planta baja, locales destinados a quinchos, lavaderos y dependencias de servicios, los cuales cumplirán con las condiciones de habitabilidad exigidas por el Código de Edificación según la categoría de locales. (*6) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*7) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. (*8) Indicadores para RM5 San Luis, comprendido en el polígono limitado por: el Rio Arenales (hacia el norte), Eje de FFCC (hacia el este), Ejido Municipal (sur y oeste) Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI. Factibilidad de agua: En el Barrio La Almudena, los proyectos deberán acreditar factibilidad de agua aprobada por el organismo competente, como requisito indispensable para su aprobación"
"RM1",NULL,"400","10","4.9","2.8",NULL,NULL,NULL,NULL,"1/3 H (*6)","(*3) (*4)","21 / 33",NULL,"0.7",NULL,NULL,NULL,NULL,"21 / 33","RM 1","(*1) Altura de edificación para edificios entre medianeras sin aplicación del régimen de perímetro libre. (*2) Para inmuebles y/o proyectos colindantes a equipamientos de aviación civil, la altura de edificación, de plano límite y del volumen superior deberá ajustarse a los requerimientos de la Administración Nacional de Aviación Civil - ANAC. (*3) En el caso de pasajes ubicados en los distritos RM1, RM2, RM3, CC1, CC3, CC4,CC5, CC6 la altura sobre Línea Municipal no podrá ser mayor al rebatimiento del ancho del pasaje. Por sobre este rebatimiento podrá llegarse a la altura establecida para el distrito, retirando la línea de fachada o el borde exterior de los balcones a 4,00m desde la línea municipal. (*4) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*5) El régimen de perímetro libre es aplicable en distritos del Área Urbana, excepto en los distritos de AC, CC2, RM4, RM5. (*6) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo, (*7) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*8) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI"
"RM2",NULL,"250","10","3.5","0.7",NULL,NULL,NULL,NULL,"1/3 H (*6)","(*3)","15 / 18",NULL,"0.7",NULL,NULL,NULL,NULL,"15 / 18","RM 2","(*1) Altura de edificación para edificios entre medianeras sin aplicación del régimen de perímetro libre. (*2) Para inmuebles y/o proyectos colindantes a equipamientos de aviación civil, la altura de edificación, de plano límite y del volumen superior deberá ajustarse a los requerimientos de la Administración Nacional de Aviación Civil - ANAC. (*3) En el caso de pasajes ubicados en los distritos RM1, RM2, RM3, CC1, CC3, CC4,CC5, CC6 la altura sobre Línea Municipal no podrá ser mayor al rebatimiento del ancho del pasaje. Por sobre este rebatimiento podrá llegarse a la altura establecida para el distrito, retirando la línea de fachada o el borde exterior de los balcones a 4,00m desde la línea municipal. (*4) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*5) El régimen de perímetro libre es aplicable en distritos del Área Urbana, excepto en los distritos de AC, CC2, RM4, RM5. (*6) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo. (*7) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*8) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI."
"RM3",NULL,"250","10","2.4",NULL,NULL,NULL,NULL,"3","4,00 (*6)","(*3)","12",NULL,"0.6",NULL,NULL,NULL,NULL,"12","RM 3","(*1) Altura de edificación para edificios entre medianeras sin aplicación del régimen de perímetro libre. (*2) Para inmuebles y/o proyectos colindantes a equipamientos de aviación civil, la altura de edificación, de plano límite y del volumen superior deberá ajustarse a los requerimientos de la Administración Nacional de Aviación Civil - ANAC. (*3) En el caso de pasajes ubicados en los distritos RM1, RM2, RM3, CC1, CC3, CC4,CC5, CC6 la altura sobre Línea Municipal no podrá ser mayor al rebatimiento del ancho del pasaje. Por sobre este rebatimiento podrá llegarse a la altura establecida para el distrito, retirando la línea de fachada o el borde exterior de los balcones a 4,00m desde la línea municipal. (*4) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*5) El régimen de perímetro libre es aplicable en distritos del Área Urbana, excepto en los distritos de AC, CC2, RM4, RM5. (*6) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo. (*7) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*8) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI."
"RM4",NULL,"400","10","1.65",NULL,NULL,NULL,NULL,"3","6 (*4) (*5)",NULL,"9",NULL,"0.55",NULL,NULL,NULL,NULL,"9","RM 4","(*1) Altura de edificación para edificios entre medianeras sin aplicación del régimen de perímetro libre. (*2) Para inmuebles y/o proyectos colindantes a equipamientos de aviación civil, la altura de edificación, de plano límite y del volumen superior deberá ajustarse a los requerimientos de la Administración Nacional de Aviación Civil - ANAC. (*3) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*4) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo. (*5) En los distritos RM4, RM5 y CC2 podrá construirse contra el eje medianero de fondo y solamente en planta baja, locales destinados a quinchos, lavaderos y dependencias de servicios, los cuales cumplirán con las condiciones de habitabilidad exigidas por el Código de Edificación según la categoría de locales. (*6) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*7) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI."
"RM5",NULL,"600 (*8)","12 (*8)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"RM 5","(*1) Altura de edificación para edificios entre medianeras sin aplicación del régimen de perímetro libre. (*2) Para inmuebles y/o proyectos colindantes a equipamientos de aviación civil, la altura de edificación, de plano límite y del volumen superior deberá ajustarse a los requerimientos de la Administración Nacional de Aviación Civil - ANAC. (*3) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*4) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo. (*5) En los distritos RM4, RM5 y CC2 podrá construirse contra el eje medianero de fondo y solamente en planta baja, locales destinados a quinchos, lavaderos y dependencias de servicios, los cuales cumplirán con las condiciones de habitabilidad exigidas por el Código de Edificación según la categoría de locales. (*6) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*7) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. (*8) Indicadores para RM5 San Luis, comprendido en el polígono limitado por: el Rio Arenales (hacia el norte), Eje de FFCC (hacia el este), Ejido Municipal (sur y oeste) Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI. Factibilidad de agua: En el Barrio La Almudena, los proyectos deberán acreditar factibilidad de agua aprobada por el organismo competente, como requisito indispensable para su aprobación"
"AC1",NULL,"300","10","4.1",NULL,NULL,NULL,NULL,NULL,"1/3 H (*3)","6 a 7 m o L.D.","21",NULL,"0.7",NULL,NULL,NULL,NULL,"21","AC 1","(*1) Para parcelas ubicadas en los Distritos AC 1, AC 2, AC 3 y AC 4, los indicadores urbanísiticos están determinados en el PRAC. En dichos distritos sólo se establecen los rangos de FOT Privado, FOT Público y Altura, a los fines de determinar a la Capacidad Constructiva Transferible con objetivos de preservación. El O.T.A. podrá exigir requisitos adicionales específicos para cada caso, en orden a preservar los valores patrimoniales, paisajísticos y ambientales del entorno. (*2) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*3) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo, (*4) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*5) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI."
"AC2",NULL,"300","10","3",NULL,NULL,NULL,NULL,NULL,"1/3 H (*3)","6 a 7 m o L.D.","15",NULL,"0.7",NULL,NULL,NULL,NULL,"15","AC 2","(*1) Para parcelas ubicadas en los Distritos AC 1, AC 2, AC 3 y AC 4, los indicadores urbanísiticos están determinados en el PRAC. En dichos distritos sólo se establecen los rangos de FOT Privado, FOT Público y Altura, a los fines de determinar a la Capacidad Constructiva Transferible con objetivos de preservación. El O.T.A. podrá exigir requisitos adicionales específicos para cada caso, en orden a preservar los valores patrimoniales, paisajísticos y ambientales del entorno. (*2) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*3) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo. (*4) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*5) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI"
"AC3",NULL,"300","10","2.4",NULL,NULL,NULL,NULL,NULL,"1/3 H (*3)","6 a 7 m o L.D.","12",NULL,"0.7",NULL,NULL,NULL,NULL,"12","AC 3","(*1) Para parcelas ubicadas en los Distritos AC 1, AC 2, AC 3 y AC 4, los indicadores urbanísiticos están determinados en el PRAC. En dichos distritos sólo se establecen los rangos de FOT Privado, FOT Público y Altura, a los fines de determinar a la Capacidad Constructiva Transferible con objetivos de preservación. El O.T.A. podrá exigir requisitos adicionales específicos para cada caso, en orden a preservar los valores patrimoniales, paisajísticos y ambientales del entorno. (*2) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*3) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo. (*4) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*5) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI"
"AC4",NULL,"300","10","1.1",NULL,NULL,NULL,NULL,"3","3,00 (*3)",NULL,"7.5",NULL,"0.55",NULL,NULL,NULL,NULL,"7.5","AC 4","(*1) Para parcelas ubicadas en los Distritos AC 1, AC 2, AC 3 y AC 4, los indicadores urbanísiticos están determinados en el PRAC. En dichos distritos sólo se establecen los rangos de FOT Privado, FOT Público y Altura, a los fines de determinar a la Capacidad Constructiva Transferible con objetivos de preservación. El O.T.A. podrá exigir requisitos adicionales específicos para cada caso, en orden a preservar los valores patrimoniales, paisajísticos y ambientales del entorno. (*2) La emisión o recepcion de FOT Público se pondrá en vigencia con planes o programas de incentivo. (*3) La medida mínima de retiro de fondo es de 4 metros. No se exigirá retiro de fondo en lotes en esquina. En todos los casos el retiro de fondo deberá contemplar un 15% del área de superficie absorbente como mínimo. (*4) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*5) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de Resolución o Disposición técnicamente fundada. Según Parte IV, Título I, Capitulo I, Seccion I, Art. 117, Inciso XI"
