"distrito","cod_actividad","categoria","subcategoria","actividad","estado"
"RN",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Enseñanza e Invest. en Grandes Predios","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Enseñanza e Invest. en Grandes Predios","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Enseñanza e Invest. en Grandes Predios","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Enseñanza e Invest. en Grandes Predios",NULL
"IUS",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Enseñanza e Invest. en Grandes Predios",NULL
"RM 1",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"RM 2",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"RM 3",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"RM 4",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"CC 4",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental",NULL
"EE",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental",NULL
"PI",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Permitido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Permitido"
"DSA SL",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Permitido"
"DSA AN2",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Permitido"
"RN",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Permitido"
"PN",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Permitido"
"FU",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental","Permitido"
"NA",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental",NULL
"IUS",NULL,"Equipamientos y Servicios","Enseñanza e Investigación","Educacion y Práctica Ambiental",NULL
"RM 1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"RM 2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"RM 5",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"CC 1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"AC 2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"AC 3",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"AC 4",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"PIU",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Remitirse a Ficha de Distrito"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Remitirse a Ficha de Distrito"
"DSA AN1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"DSA AN2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Permitido"
"RN",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Remitirse a Ficha de Distrito"
"PN",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Remitirse a Ficha de Distrito"
"FU",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2","Remitirse a Ficha de Distrito"
"NA",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud sin Internación Peq. Esc - 300 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Condicionado"
"RM 2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Condicionado"
"RM 5",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Condicionado"
"CC 1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Condicionado"
"CC 2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Condicionado"
"CC6",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Condicionado"
"AC 2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Condicionado"
"AC 3",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Condicionado"
"AC 4",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Permitido"
"DSA AN2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Mediana Escala - 1500 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Condicionado"
"RM 2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Condicionado"
"RM 4",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Condicionado"
"RM 5",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Condicionado"
"CC 2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Condicionado"
"CC 5",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Sanitario","Equip. Salud Gran Escala > 1500 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Condicionado"
"RM 2",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Condicionado"
"RM 3",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Condicionado"
"RM 4",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Remitirse a Ficha de Distrito"
"CC 5",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Remitirse a Ficha de Distrito"
"CC6",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2",NULL
"RM 4",NULL,"Equipamientos y Servicios","Centrales","Gran Escala > 300 m2","Prohibido"
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Remitirse a Ficha de Distrito"
"FU",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Sanitario","Equipos de Salud Móviles - 2500 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"RM 2",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"RM 5",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"CC 1",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"AC 2",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"AC 3",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"AC 4",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"DSA AN2",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Permitido"
"RN",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Pequeña Escala - 300 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Condicionado"
"RM 2",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Condicionado"
"RM 3",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Condicionado"
"RM 4",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Condicionado"
"CC 2",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Remitirse a Ficha de Distrito"
"CC 5",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Remitirse a Ficha de Distrito"
"DSA AN1",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Sanitario","Atención animales Med. y Gran Esc >300 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"RM 2",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"RM 5",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"CC 1",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"AC 2",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"AC 3",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2",NULL
"EE",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2",NULL
"PI",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"DSA AN2",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"RN",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"FU",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2","Permitido"
"NA",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Social y Deportivo","Pequeña Escala -300m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Social y Deportivo","Mediana Escala - 1500m2","Permitido"
