"distrito","cod_actividad","categoria","subcategoria","actividad","estado"
"DSA AN2",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Remitirse a Ficha de Distrito"
"DSA Sur",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Remitirse a Ficha de Distrito"
"DSA Oeste",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Remitirse a Ficha de Distrito"
"RN",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Prohibido"
"PN",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Prohibido"
"FU",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Prohibido"
"NA",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar",NULL
"IUS",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar",NULL
"RM 1",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"RM 2",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"RM 3",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"RM 4",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Condicionado"
"RM 5",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Condicionado"
"CC 1",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"CC 2",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"CC 3",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"CC 4",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"CC 5",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Condicionado"
"CC6",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"AC 1",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"AC 2",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"AC 3",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"AC 4",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"PIU",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria",NULL
"EE",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria",NULL
"PI",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria",NULL
"PARQUE ACTIVO",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"PARQUE PASIVO",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"DSA SL",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"DSA AN1",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"DSA AN2",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Permitido"
"DSA Sur",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"DSA Oeste",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"RN",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"PN",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"FU",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria","Prohibido"
"NA",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria",NULL
"IUS",NULL,"Residencial","Vivienda Comunitaria","Vivienda Comunitaria",NULL
"RM 1",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"RM 2",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"RM 3",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"RM 4",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Condicionado"
"RM 5",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Condicionado"
"CC 1",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"CC 2",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"CC 3",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"CC 4",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"CC 5",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Condicionado"
"CC6",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"AC 1",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"AC 2",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"AC 3",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"AC 4",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"PIU",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.",NULL
"EE",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.",NULL
"PI",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.",NULL
"PARQUE ACTIVO",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Condicionado"
"PARQUE PASIVO",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Prohibido"
"DSA SL",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"DSA AN1",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"DSA AN2",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"DSA Sur",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Prohibido"
"DSA Oeste",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"RN",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Prohibido"
"PN",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Prohibido"
"FU",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.","Permitido"
"NA",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.",NULL
"IUS",NULL,"Residencial","Vivienda Transitoria","Hotel, Motel, Hostal, Hospedaje, etc.",NULL
"RM 1",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Condicionado"
"RM 2",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Condicionado"
"RM 3",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"RM 4",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"RM 5",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"CC 1",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"CC 2",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"CC 3",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"CC 4",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Remitirse a Ficha de Distrito"
"CC 5",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"CC6",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"AC 1",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"AC 2",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"AC 3",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"AC 4",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"PIU",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora",NULL
"EE",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora",NULL
"PI",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora",NULL
"PARQUE ACTIVO",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"PARQUE PASIVO",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"DSA SL",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Condicionado"
"DSA AN1",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Condicionado"
"DSA AN2",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"DSA Sur",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Condicionado"
"DSA Oeste",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Condicionado"
"RN",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"PN",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"FU",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora","Prohibido"
"NA",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora",NULL
"IUS",NULL,"Residencial","Vivienda Transitoria","Hotel por Hora",NULL
"RM 1",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"RM 2",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"RM 3",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Condicionado"
"RM 4",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Condicionado"
"RM 5",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Condicionado"
"CC 1",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"CC 2",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"CC 3",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"CC 4",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"CC 5",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"CC6",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"AC 1",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Condicionado"
"AC 2",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Condicionado"
"AC 3",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"AC 4",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"PIU",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria",NULL
"EE",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria",NULL
"PI",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria",NULL
"PARQUE ACTIVO",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
"PARQUE PASIVO",NULL,"Residencial","Vivienda Transitoria","Vivienda temporaria","Prohibido"
